devId,_month,BMS_PCB_board_surface_temperature,Battery_control,Battery_status,Cell_series_numbe_23_series,Internal_temperature_of_battery,Location_type,Mileage,Number_of_cycles,SOC,Speed_information,Surface_temperature_in_the_middle_of_cells,Total_charged_capacity,Total_current,Total_discharged_capacity,Total_voltage,alarmDesc,alarmFlag,times_100_of_battery_capacity,Maximum_Charge_Current,Nominal_Capacity,Total_charge_protect_voltage,total_cell_voltage
BGU9114,9,32.80286651281428,0.0,0.0,24.0,17.684005367755127,1.0,6230.072202433957,4376.71093133386,66.86620606788826,7.01834451901566,132012043938.40024,3633.807692307693,679.0469293163384,3640.728237791932,7024.802521008403,0.0,0.0,2033.26126984127,88.6879805016023,77.95285688482149,8217.74897125477,5178430967.557869
BGU9115,8,41.19047619047619,4.0,0.0,24.0,38.04761904761905,5.0,8969.0,145.0,100.0,0.0,35.904761904761905,4205.0,86.42857142857143,4234.0,8166.047619047619,0.0,0.0,2923.5,40.0,29.0,8328.0,2012.0902612826603
BGU9115,9,32.348144470646645,0.0,0.0,24.0,18.75257162581981,1.0,7658.969541681703,4343.132260036682,65.13983548766157,6.84340564738292,123077393560.86266,4006.8424638866177,646.4322970384559,4017.312670671764,7025.143362310299,0.0,0.0,1971.0656057161416,92.3323031258128,81.57467621934417,8218.350757242697,4690013932.601678
BGU9116,8,24.428571428571427,4.0,0.0,24.0,23.5,5.0,6714.0,119.0,70.49122807017544,0.0,22.964285714285715,3459.0,0.0,3470.0,7995.285714285715,0.0,0.0,1968.1333333333332,40.0,29.0,8328.0,2969.4685990338166
BGU9116,9,33.09603184475681,0.0,0.0,100.0,19.485393434898697,5.0,5314.014412617839,4593.174121073434,65.75019689267559,5.230600967073452,123331950943.25336,3528.743647656692,707.8640142517814,3534.3246679853064,6967.305889333927,0.0,0.0,1976.167348329925,85.8643943300983,75.07002455081393,8210.053312917595,4456402103.604712
BGU9117,8,24.058823529411764,4.0,2.0,24.0,23.08823529411765,5.0,4675.0,83.0,45.0,0.0,23.57575757575757,2422.0,0.0,2419.0,7902.78125,0.0,0.0,1256.470588235294,40.0,29.0,8160.0,2224.4039735099336
BGU9117,9,31.09225003022609,0.0,0.0,100.0,19.40472401373649,1.0,4626.5447917173,5375.561933534743,64.4008713692946,11.403314010718583,52570488836.173744,3008.706557377049,575.7960750853242,3013.2667213787445,7148.120267577569,0.0,0.0,1998.1095652173915,59.71241789333301,48.908274726919046,8082.675197288672,1742127873.5787208
BGU9118,9,29.096267190569744,4.0,2.0,24.0,27.042364532019704,5.0,2470.8033932135727,38.0,95.6984126984127,0.0,27.782823297137217,1103.6296296296296,37.75494071146245,1128.462962962963,7993.566205533597,0.0,0.0,2686.100790513834,40.0,29.0,8328.0,13256.561300813008
BGU9119,8,32.04651162790697,4.0,0.0,24.0,33.25581395348837,1.0,5124.502808988764,91.0,56.9749373433584,18.4747191011236,32.16279069767442,2650.1111111111118,-397.1162790697674,2655.222222222222,7888.581395348837,0.0,0.0,1615.8636363636365,40.0,28.97435897435897,8320.162547528516,1121.8284977433914
BGU9119,9,32.91713705125311,0.0,0.0,100.0,18.85037118504262,1.0,5018.097055472789,5511.651023464803,67.49481520872108,11.807175331093102,56030512845.31464,3112.096358118361,593.7745703544575,3119.627182991648,7103.348821638993,0.0,0.0,2141.88503832056,63.42679089584583,52.557141107300346,8240.35764049035,2095123116.0851831
